,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Is_test,SalePrice
879,60,RL,0.0,13517,0,None,2,Lvl,3,CulDSac,2,Sawyer,RRAe,Norm,1Fam,2Story,6,8,1976,2005,Gable,CompShg,HdBoard,Plywood,BrkFace,289.0,4,3,CBlock,3,3,1,6,533.0,1,0.0,192.0,725.0,GasA,5,1,4,725,754,0,1479,0.0,0.0,2,1,3,1,4,6,7,0,0,Attchd,1976.0,2,2.0,475.0,3,3,2,0,44,0,0,0,0,0,0,None,0,3,2010,WD ,0,130500.0
880,60,RL,43.0,11492,0,None,2,Lvl,3,CulDSac,2,SawyerW,Norm,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,VinylSd,VinylSd,BrkFace,132.0,4,3,PConc,4,3,1,6,637.0,1,0.0,276.0,913.0,GasA,5,1,4,913,1209,0,2122,1.0,0.0,2,1,4,1,4,8,7,1,3,Attchd,1997.0,2,2.0,559.0,3,3,2,0,74,0,0,0,0,0,0,None,0,4,2009,WD ,0,220000.0
881,20,RL,68.0,7922,0,None,3,Lvl,3,Inside,2,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,1,6,731.0,1,0.0,326.0,1057.0,GasA,3,1,4,1057,0,0,1057,1.0,0.0,1,0,3,1,4,5,7,0,0,Detchd,1953.0,1,1.0,246.0,3,3,2,0,52,0,0,0,0,0,0,None,0,1,2010,WD ,0,109000.0
882,60,RL,73.0,9802,0,None,3,Lvl,3,Inside,2,Timber,Norm,Norm,1Fam,2Story,5,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,1,1,0.0,1,0.0,384.0,384.0,GasA,4,1,4,744,700,0,1444,0.0,0.0,2,1,3,1,3,7,7,0,0,BuiltIn,2007.0,3,2.0,400.0,3,3,2,100,0,0,0,0,0,0,0,None,0,4,2010,WD ,0,174000.0
883,50,RL,82.0,14235,0,None,2,Lvl,3,Inside,2,SawyerW,Norm,Norm,1Fam,1.5Fin,6,8,1900,1993,Gable,CompShg,Wd Sdng,Plywood,None,0.0,3,3,PConc,2,4,1,1,0.0,1,0.0,676.0,676.0,GasA,3,1,4,831,614,0,1445,0.0,0.0,2,0,3,1,3,6,7,0,0,Detchd,1957.0,1,2.0,484.0,3,3,0,0,59,0,0,0,0,0,0,None,0,3,2010,WD ,0,138500.0
884,20,RL,137.0,16492,0,None,2,Lvl,3,Corner,2,NAmes,PosA,Norm,1Fam,1Story,6,6,1966,2002,Gable,CompShg,BrkFace,Plywood,None,0.0,4,3,CBlock,3,3,1,5,247.0,3,713.0,557.0,1517.0,GasA,5,1,4,1888,0,0,1888,0.0,0.0,2,1,2,1,4,6,4,1,4,Attchd,1966.0,3,2.0,578.0,3,3,2,0,0,0,0,0,0,0,0,None,0,6,2010,WD ,0,190000.0
885,180,RM,35.0,3675,0,None,3,Lvl,3,Inside,2,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,3,3,PConc,4,3,4,6,547.0,1,0.0,0.0,547.0,GasA,4,1,4,1072,0,0,1072,1.0,0.0,2,0,2,1,3,5,7,0,0,Basment,2005.0,3,2.0,525.0,3,3,2,0,44,0,0,0,0,0,0,None,0,6,2006,New,0,140000.0
886,20,RL,0.0,12160,0,None,2,Lvl,3,Inside,2,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,Plywood,Plywood,BrkFace,180.0,3,3,CBlock,3,3,1,3,1000.0,1,0.0,188.0,1188.0,GasA,2,1,4,1188,0,0,1188,1.0,0.0,1,0,3,1,3,6,7,0,0,Attchd,1959.0,2,2.0,531.0,3,3,2,0,0,0,0,0,0,0,3,None,0,5,2010,COD,0,142000.0
887,20,RL,0.0,15783,0,None,3,Lvl,3,Inside,2,OldTown,Artery,Norm,1Fam,1Story,5,5,1952,1952,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,3,292.0,1,0.0,632.0,924.0,GasA,3,1,4,924,0,0,924,0.0,0.0,1,0,2,1,3,6,7,0,0,Detchd,1952.0,1,1.0,420.0,3,3,2,0,324,0,0,0,0,0,3,Shed,400,6,2007,WD ,0,112500.0
888,60,RL,70.0,11606,0,None,2,HLS,3,Inside,0,NAmes,Norm,Norm,1Fam,2Story,5,5,1969,1969,Gable,CompShg,Plywood,Plywood,BrkFace,192.0,3,3,PConc,4,3,3,3,650.0,1,0.0,390.0,1040.0,GasA,3,1,4,1040,1040,0,2080,0.0,1.0,1,2,5,1,2,9,7,2,3,Attchd,1969.0,1,2.0,504.0,3,3,2,335,0,0,0,0,0,0,0,None,0,9,2007,WD ,0,135000.0
889,160,RM,21.0,1680,0,None,3,Lvl,3,Inside,2,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,3,3,CBlock,3,3,1,5,387.0,1,0.0,96.0,483.0,GasA,3,1,4,483,504,0,987,0.0,0.0,1,1,2,1,3,4,7,0,0,Detchd,1971.0,1,1.0,264.0,3,3,2,0,0,0,0,0,0,0,0,None,0,7,2008,COD,0,85400.0
890,20,RL,64.0,7488,0,None,2,Lvl,3,Inside,2,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,3,6,393.0,1,0.0,815.0,1208.0,GasA,5,1,4,1208,0,0,1208,0.0,0.0,2,0,2,1,4,6,7,0,0,Attchd,2005.0,2,2.0,632.0,3,3,2,105,58,0,0,0,0,0,0,None,0,2,2006,WD ,0,183600.0
891,70,RL,120.0,26400,0,None,3,Bnk,3,FR2,2,SawyerW,Feedr,Norm,1Fam,2Story,5,7,1880,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,3,PConc,0,0,0,0,0.0,0,0.0,0.0,0.0,GasA,5,1,4,1288,728,0,2016,0.0,0.0,1,0,4,1,3,7,4,1,3,Attchd,1900.0,1,2.0,576.0,3,3,1,0,0,0,0,0,0,0,0,None,0,6,2009,WD ,0,131000.0
892,160,FV,24.0,2645,0,Pave,3,Lvl,3,Inside,2,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,4,3,PConc,4,3,1,6,813.0,1,0.0,147.0,960.0,GasA,5,1,4,962,645,0,1607,1.0,0.0,2,1,3,1,4,7,7,0,0,Detchd,2000.0,1,2.0,480.0,3,3,2,169,0,0,0,0,0,0,0,None,0,12,2008,ConLD,0,200000.0
893,20,RL,74.0,9627,0,None,3,Lvl,3,Inside,2,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,3,6,24.0,1,0.0,1327.0,1351.0,GasA,5,1,4,1361,0,0,1361,0.0,0.0,2,0,3,1,4,6,7,0,0,Attchd,2007.0,2,2.0,610.0,3,3,2,0,50,0,0,0,0,0,0,None,0,6,2008,WD ,0,193000.0
894,20,RL,93.0,10114,0,None,3,Lvl,3,Inside,2,Mitchel,Norm,Norm,1Fam,1Story,5,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,5,3,3,1,0.0,1,0.0,1430.0,1430.0,GasA,5,1,4,1430,0,0,1430,0.0,0.0,2,0,3,1,4,7,7,0,0,Attchd,2004.0,2,2.0,624.0,3,3,2,0,0,0,0,0,0,0,0,None,0,3,2010,WD ,0,173500.0
895,70,RM,34.0,4571,0,Grvl,3,Lvl,3,Inside,2,OldTown,Norm,Norm,1Fam,2Story,5,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,3,3,BrkTil,3,3,1,1,0.0,1,0.0,624.0,624.0,GasA,2,0,4,624,720,0,1344,0.0,0.0,1,0,4,1,3,7,7,0,0,Detchd,1916.0,1,3.0,513.0,2,2,2,0,0,96,0,0,0,0,0,None,0,5,2008,COD,0,98000.0
896,20,RL,80.0,8816,0,None,3,Lvl,3,Corner,2,Sawyer,Feedr,Norm,1Fam,1Story,5,6,1963,1963,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,3,3,1,3,651.0,1,0.0,470.0,1121.0,GasA,3,1,4,1121,0,0,1121,1.0,0.0,1,0,3,1,3,5,7,0,0,Detchd,1963.0,1,2.0,480.0,3,3,2,0,80,0,0,0,0,0,3,None,0,6,2009,WD ,0,139000.0
897,20,RL,71.0,8197,0,None,3,Lvl,3,Inside,2,Sawyer,Norm,Norm,1Fam,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,BrkFace,148.0,3,3,CBlock,3,3,1,1,0.0,1,0.0,660.0,660.0,GasA,5,1,4,1285,0,0,1285,0.0,0.0,1,1,3,1,3,7,7,1,3,Attchd,1977.0,2,2.0,528.0,3,3,2,138,0,0,0,0,0,0,3,None,0,4,2007,WD ,0,143500.0
898,60,FV,72.0,8640,0,None,3,Lvl,3,Inside,2,Somerst,Norm,Norm,1Fam,2Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,2,6,24.0,1,0.0,732.0,756.0,GasA,5,1,4,764,783,0,1547,0.0,0.0,2,1,3,1,4,7,7,0,0,Attchd,2009.0,1,2.0,614.0,3,3,2,169,45,0,0,0,0,0,0,None,0,6,2010,Con,0,215200.0
899,20,RL,109.0,8724,0,None,3,Lvl,3,Inside,2,Sawyer,Norm,Norm,1Fam,1Story,5,5,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,4,3,1,4,492.0,1,0.0,402.0,894.0,GasA,4,1,4,894,0,0,894,0.0,0.0,1,0,3,1,3,5,7,1,1,Attchd,1968.0,3,2.0,450.0,3,3,2,0,0,0,0,0,0,0,0,None,0,5,2007,WD ,0,129000.0
900,120,RL,40.0,5664,0,None,2,Lvl,3,Inside,2,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,CompShg,CemntBd,CmentBd,None,0.0,4,3,PConc,4,3,1,6,1158.0,1,0.0,343.0,1501.0,GasA,5,1,4,1659,0,0,1659,1.0,0.0,2,0,2,1,5,5,7,1,5,Attchd,2000.0,3,2.0,499.0,3,3,2,212,59,0,0,0,0,0,0,None,0,10,2009,WD ,0,278000.0
901,60,RL,103.0,12867,0,None,2,Lvl,3,Corner,2,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,CemntBd,CmentBd,None,0.0,4,3,PConc,5,3,3,1,0.0,1,0.0,1209.0,1209.0,GasA,5,1,4,1209,1044,0,2253,0.0,0.0,2,1,3,1,5,8,7,1,4,Attchd,2005.0,3,2.0,575.0,3,3,2,243,142,0,0,0,0,0,0,None,0,7,2006,New,0,344133.0
902,20,RL,0.0,7980,0,None,2,Lvl,3,Inside,2,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,4,PConc,4,3,1,5,935.0,1,0.0,233.0,1168.0,GasA,5,1,4,1187,0,0,1187,1.0,0.0,2,0,3,1,3,6,7,0,0,Attchd,1992.0,3,2.0,420.0,3,3,2,483,21,0,0,0,0,0,4,Shed,500,3,2010,WD ,0,185000.0
903,190,RL,100.0,34650,0,None,3,Bnk,3,Inside,2,Gilbert,Norm,Norm,2fmCon,1Story,5,5,1955,1955,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,2,3,1056.0,1,0.0,0.0,1056.0,GasA,3,0,4,1056,0,0,1056,1.0,0.0,1,0,3,1,3,5,7,0,0,Attchd,1955.0,3,2.0,572.0,3,3,2,264,0,0,0,0,0,0,0,None,0,1,2006,WD ,0,145000.0
904,20,RL,92.0,10573,0,None,2,Lvl,3,Corner,2,NAmes,Norm,Norm,1Fam,1Story,6,6,1961,1961,Hip,CompShg,MetalSd,MetalSd,BrkFace,3.0,3,3,CBlock,3,3,1,3,1312.0,1,0.0,141.0,1453.0,GasA,5,1,4,1453,0,0,1453,1.0,0.0,2,0,3,1,3,6,7,1,3,Attchd,1961.0,2,2.0,530.0,3,3,2,0,49,0,0,288,0,0,4,None,0,4,2009,WD ,0,187500.0
905,20,RL,65.0,8450,0,None,3,Lvl,3,Inside,2,Sawyer,RRAe,Norm,1Fam,1Story,5,8,1965,2009,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,3,3,1,6,553.0,4,117.0,224.0,894.0,GasA,5,1,4,894,0,0,894,1.0,0.0,1,0,3,1,3,5,7,1,4,Detchd,1973.0,1,1.0,336.0,3,3,2,416,144,0,0,0,0,0,3,None,0,4,2010,WD ,0,138500.0
906,50,RL,0.0,11700,0,Grvl,2,HLS,3,Inside,1,Crawfor,Norm,Norm,1Fam,1.5Fin,5,6,1937,1995,Gable,CompShg,WdShing,Wd Shng,None,0.0,3,3,CBlock,3,3,1,4,606.0,1,0.0,336.0,942.0,GasA,5,1,4,1265,673,0,1938,0.0,0.0,2,0,4,1,4,7,5,1,4,Detchd,1937.0,1,1.0,240.0,3,3,2,0,40,0,0,0,0,0,0,None,0,7,2008,WD ,0,198000.0
907,190,C (all),75.0,8250,0,None,3,Lvl,3,Inside,2,IDOTRR,Feedr,Norm,2fmCon,2Story,5,6,1895,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,1,1,0.0,1,0.0,957.0,957.0,GasA,2,0,4,1034,957,0,1991,0.0,0.0,2,0,4,2,3,9,7,0,0,None,1978.0,0,0.0,0.0,0,0,0,0,0,133,0,0,0,0,0,None,0,6,2007,WD ,0,119600.0
908,50,RL,60.0,8064,0,None,3,Lvl,3,Corner,2,NAmes,Artery,Norm,1Fam,1.5Fin,5,7,1949,2006,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,3,3,2,1,0.0,1,0.0,672.0,672.0,GasA,5,1,4,672,252,0,924,0.0,0.0,1,0,3,1,3,6,7,1,1,Detchd,2003.0,1,2.0,576.0,3,3,2,0,0,0,0,0,0,0,3,Shed,2000,7,2007,WD ,0,122900.0
909,20,RL,80.0,9600,0,None,3,Lvl,3,Inside,2,NWAmes,PosN,Norm,1Fam,1Story,8,5,1981,1981,Hip,WdShngl,BrkFace,BrkFace,None,0.0,4,3,PConc,4,3,1,5,1104.0,1,0.0,1420.0,2524.0,GasA,3,1,4,2524,0,0,2524,1.0,0.0,2,1,4,1,4,9,7,1,4,Attchd,1981.0,3,2.0,542.0,3,3,2,474,120,0,0,0,0,0,3,None,0,7,2009,WD ,0,278000.0
910,70,RL,0.0,11435,0,None,2,HLS,3,Corner,1,Crawfor,Norm,Norm,1Fam,2Story,8,7,1929,1950,Gable,CompShg,BrkFace,Stucco,None,0.0,3,3,PConc,4,3,1,1,0.0,1,0.0,792.0,792.0,GasA,2,1,4,792,725,0,1517,0.0,0.0,1,0,3,1,4,7,7,2,4,Detchd,1931.0,1,2.0,400.0,3,3,2,0,0,0,0,0,0,0,0,None,0,6,2006,WD ,0,230000.0
